species,character,value,name,type
P. reticulata,character_1,NA,sword,sword
P. butleri,character_1,NA,sword,sword
A. hubberi,character_1,0,sword,sword
P. coompressa,character_1,0,sword,sword
P. intermedia,character_1,0,sword,sword
P. olmaceae,character_1,0,sword,sword
X. alvarezi,character_1,2,sword,sword
X. andersi,character_1,2,sword,sword
X. birchmanni,character_1,1,sword,sword
X. clemenciae,character_1,2,sword,sword
X. continens,character_1,1,sword,sword
X. cortezi,character_1,2,sword,sword
X. couchianus,character_1,0,sword,sword
X. evelynae,character_1,0,sword,sword
X. gordoni,character_1,0,sword,sword
X. helleri,character_1,2,sword,sword
X. maculatus,character_1,0,sword,sword
X. malinche,character_1,2,sword,sword
X. meyeri,character_1,0,sword,sword
X. milleri,character_1,0,sword,sword
X. montezumae,character_1,2,sword,sword
X. multilineatus,character_1,2,sword,sword
X. nezahualcqyotl,character_1,2,sword,sword
X. nigrensis,character_1,2,sword,sword
X. pygmaeus,character_1,1,sword,sword
X. signum,character_1,2,sword,sword
X. variatus,character_1,0,sword,sword
X. xiphidium,character_1,1,sword,sword
P. reticulata,character_2,NA,Sword consisting exclusively of unbranched rays,sword
P. butleri,character_2,NA,Sword consisting exclusively of unbranched rays,sword
A. hubberi,character_2,NA,Sword consisting exclusively of unbranched rays,sword
P. coompressa,character_2,NA,Sword consisting exclusively of unbranched rays,sword
P. intermedia,character_2,NA,Sword consisting exclusively of unbranched rays,sword
P. olmaceae,character_2,NA,Sword consisting exclusively of unbranched rays,sword
X. alvarezi,character_2,0,Sword consisting exclusively of unbranched rays,sword
X. andersi,character_2,0,Sword consisting exclusively of unbranched rays,sword
X. birchmanni,character_2,NA,Sword consisting exclusively of unbranched rays,sword
X. clemenciae,character_2,0,Sword consisting exclusively of unbranched rays,sword
X. continens,character_2,NA,Sword consisting exclusively of unbranched rays,sword
X. cortezi,character_2,1,Sword consisting exclusively of unbranched rays,sword
X. couchianus,character_2,NA,Sword consisting exclusively of unbranched rays,sword
X. evelynae,character_2,NA,Sword consisting exclusively of unbranched rays,sword
X. gordoni,character_2,NA,Sword consisting exclusively of unbranched rays,sword
X. helleri,character_2,0,Sword consisting exclusively of unbranched rays,sword
X. maculatus,character_2,NA,Sword consisting exclusively of unbranched rays,sword
X. malinche,character_2,1,Sword consisting exclusively of unbranched rays,sword
X. meyeri,character_2,NA,Sword consisting exclusively of unbranched rays,sword
