species,sword,sword_binary,pref,pref_binary
Xalvarezi,0.65,y,NA,NA
Xandersi,0.35,y,NA,NA
Xbirchmanni_GARC,0.275,n,-0.33,y
Xclemenciae_G,0.564,y,0.44,y
Xcontinens,0.3,y,NA,NA
Xcortezi,0.37,y,NA,NA
Xcouchianus,0.275,n,NA,NA
Xevelynae,0.275,n,NA,NA
Xgordoni,0.275,n,NA,NA
Xhellerii,0.641,y,0.91,y
Xmaculatus_JpWild,0.275,n,0.24,y
Xmalinche_CHIC2,0.37,y,-0.24,n
Xmayae,0.7,y,NA,NA
Xmeyeri,0.275,n,NA,NA
Xmilleri,0.275,n,NA,NA
Xmontezumae,1.03,y,0.19,n
Xmonticolus,0.517,y,NA,NA
Xmultilineatus,0.4,y,-0.08,n
Xnezahuacoyotl,0.48,y,NA,NA
Xnigrensis,0.37,y,-0.11,n
Xpygmaeus,0.3,y,-0.02,n
Xsignum,0.6,y,NA,NA
Xvariatus,0.275,n,0.28,y
Xxiphidium,0.3,y,NA,NA
Psjonesii,0.275,n,NA,NA
Pcompressa,0.275,n,NA,NA
